"","Name","Program.Identifier","Inspection.Date","Description","Address","City","Zip.Code","Phone","Longitude","Latitude","Inspection.Business.Name","Inspection.Type","Inspection.Score","Inspection.Result","Inspection.Closed.Business","Violation.Type","Violation.Description","Violation.Points","Business_ID","Inspection_Serial_Num","Violation_Record_ID","Grade"
"1011","UNION CAFE @ AMAZON","UNION CAFE @ AMAZON","2/12/18","Seating 51-150 - Risk Category III","501 FAIRVIEW AVE N","SEATTLE",98109,"(206) 940-2991",-122.3345689,47.62333729,"UNION CAFE @ AMAZON","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0086385","DASX7MGF4","",1
"1012","CANTON NOODLE HOUSE","CANTON NOODLE HOUSE","2/12/18","Seating 13-50 - Risk Category III","6008 M L KING JR WAY S ","Seattle",98118,"(206) 403-5918",-122.2859693,47.54759026,"CANTON NOODLE HOUSE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0003748","DAT2OOKIP","",2
"1013","KING DONUTS","KING DONUTS","2/12/18","Seating 13-50 - Risk Category III","9232 RAINIER AVE S ","SEATTLE",98118,"(206) 225-4437",-122.2696264,47.52039146,"KING DONUTS","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0002963","DAWGG1BTO","",1
"1014","PHO VAN VIETNAMESE RESTAURANT","PHO VAN VIETNAMESE RESTAURANT","2/12/18","Seating 51-150 - Risk Category III","9150 RAINIER AVE S","SEATTLE",98118,"(206) 725-2989",-122.2696718,47.52115229,"PHO VAN VIETNAMESE RESTAURANT","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0002428","DAEP0932X","",2
"1015","Q BAKERY","Q BAKERY","2/12/18","Seating 13-50 - Risk Category III","3818 S GRAHAM ST #B","SEATTLE",98118,"(206) 817-6081",-122.2843132,47.54660999,"Q BAKERY","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0077086","DATZFEWCS","",2
"1016","CUFF COMPLEX","CUFF COMPLEX","2/12/18","Seating 51-150 - Risk Category II","1533 13TH AVE ","SEATTLE",98122,"(206) 323-1525",-122.3158784,47.61509449,"CUFF COMPLEX","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0032359","DAN4QOJUQ","",1
"1017","RHEIN HAUS","VON TRAPPS","2/12/18","Seating > 250 - Risk Category III","912 12TH AVE","SEATTLE",98122,"(206) 724-4164",-122.3163835,47.61088531,"RHEIN HAUS","Routine Inspection/Field Review",10,"Satisfactory",FALSE,"RED","2700 - Variance obtained for specialized processing ...",10,"PR0082816","DA92R0AUQ","IVZDCGQYS",1
"1018","LA VILLA MEXICAN CUISINE","LA VILLA MEXICAN CUISINE","2/13/18","Seating 13-50 - Risk Category III","3410 NE 55TH ST","Seattle",98105,"(206) 280-8490",-122.2909801,47.66864241,"LA VILLA MEXICAN CUISINE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0008221","DAJC7KK8G","",1
"1019","ANCHORED SHIP COFFEE BAR","ANCHORED SHIP COFFEE BAR","2/13/18","Seating 0-12 - Risk Category II","5306 BALLARD AVE NW ","SEATTLE",98107,"(206) 954-9215",-122.3832087,47.66678304,"ANCHORED SHIP COFFEE BAR","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0066914","DAE3N0V5L","",2
"1020","BITTERROOT SEATTLE","BITTERROOT SEATTLE","2/13/18","Seating 51-150 - Risk Category III","5239 BALLARD AVE NW","SEATTLE",98107,"(206) 920-4196",-122.3833525,47.66617708,"BITTERROOT SEATTLE","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0081878","DAYIAYQD0","IV80IWWLA",2
"1021","HATTIE'S HAT","HATTIE'S HAT","2/13/18","Seating 51-150 - Risk Category III","5231 BALLARD AVE NW ","Seattle",98107,"(206) 228-6299",-122.3832209,47.66606253,"HATTIE'S HAT","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0001433","DADEVMYFM","",1
"1022","5-SPOT","5-SPOT","2/13/18","Seating 51-150 - Risk Category III","1502 QUEEN ANNE AVE N ","Seattle",98109,"(206) 322-3421",-122.356724,47.63252657,"5-SPOT","Routine Inspection/Field Review",8,"Satisfactory",FALSE,"BLUE","3600 - Proper eating, tasting, drinking, or tobacco use",3,"PR0023299","DAWFEOMB3","IVXW7ETTD",2
"1023","5-SPOT","5-SPOT","2/13/18","Seating 51-150 - Risk Category III","1502 QUEEN ANNE AVE N ","Seattle",98109,"(206) 322-3421",-122.356724,47.63252657,"5-SPOT","Routine Inspection/Field Review",8,"Satisfactory",FALSE,"BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0023299","DAWFEOMB3","IV5COHCAA",2
"1024","OLYMPIC PIZZA","OLYMPIC PIZZA","2/13/18","Seating 13-50 - Risk Category III","1500 QUEEN ANNE AVE N ","Seattle",98109,"(206) 532-5052",-122.3566142,47.6324619,"OLYMPIC PIZZA","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0054479","DAFOTQBVS","IV2P5V0Y1",2
"1025","OLYMPIC PIZZA","OLYMPIC PIZZA","2/13/18","Seating 13-50 - Risk Category III","1500 QUEEN ANNE AVE N ","Seattle",98109,"(206) 532-5052",-122.3566142,47.6324619,"OLYMPIC PIZZA","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0054479","DAFOTQBVS","IVMCPXDY0",2
"1026","OLYMPIC PIZZA","OLYMPIC PIZZA","2/13/18","Seating 13-50 - Risk Category III","1500 QUEEN ANNE AVE N ","Seattle",98109,"(206) 532-5052",-122.3566142,47.6324619,"OLYMPIC PIZZA","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","2500 - Toxic substances properly identified,...",10,"PR0054479","DAFOTQBVS","IVHMB4BDC",2
"1027","QUEEN ANNE OLIVE OIL","QUEEN ANNE OLIVE OIL","2/13/18","Seating 0-12 - Risk Category I","1629 QUEEN ANNE AVE N #100","SEATTLE",98109,"(907) 723-2871",-122.357234,47.634475,"QUEEN ANNE OLIVE OIL","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0082687","DAP8IDDUS","",1
"1028","AMPERSAND CAFE - ALKI","AMPERSAND CAFE - ALKI","2/13/18","Seating 51-150 - Risk Category III","2536 ALKI AVE SW ","SEATTLE",98116,"(206) 617-3097",-122.4068036,47.58037307,"AMPERSAND CAFE - ALKI","Routine Inspection/Field Review",5,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0077246","DACISA0WW","IVNEKEVMA",1
"1029","CACTUS ALKI","CACTUS ALKI","2/13/18","Seating 51-150 - Risk Category III","2820 ALKI AVE SW ","SEATTLE",98116,"(425) 330-1969",-122.4127863,47.57822368,"CACTUS ALKI","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0069218","DA8BT6B5F","",1
"1030","DUKE'S ALKI CHOWDER HOUSE","DUKE'S ALKI CHOWDER HOUSE","2/13/18","Seating 151-250 - Risk Category III","2516 ALKI AVE SW ","Seattle",98116,"(206) 933-8000",-122.4059558,47.58071086,"DUKE'S ALKI CHOWDER HOUSE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0042332","DAYAQ8RPK","",1
"1031","MALEDA GROCERY & DELI","MALEDA GROCERY & DELI","2/13/18","Seating 0-12 - Risk Category II","3810 S EDMUNDS ST ","SEATTLE",98118,"",-122.2848659,47.55880699,"MALEDA GROCERY & DELI","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0068893","DA3KOJIR1","",2
"1032","PHO BO RESTAURANT","PHO BO RESTAURANT","2/13/18","Seating 51-150 - Risk Category III","4732 RAINIER AVE S","SEATTLE",98118,"(206) 331-8295",-122.2857205,47.55961856,"PHO BO RESTAURANT","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0063999","DAW4ITWK6","",2
"1033","STARBUCKS COFFEE #3277","STARBUCKS COFFEE #3277","2/13/18","Seating 13-50 - Risk Category II","4820 RAINIER AVE S","Seattle",98118,"",-122.2853098,47.55888647,"STARBUCKS COFFEE #3277","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0055268","DA3GPUGMK","",1
"1034","MOTI MAHAL","MOTI MAHAL","2/13/18","Seating 13-50 - Risk Category III","1520 BROADWAY","SEATTLE",98122,"(318) 707-9077",-122.320558,47.614519,"MOTI MAHAL","Return Inspection",0,"Satisfactory",FALSE,"","",0,"PR0012361","DALKIX0CS","",2
"1035","SEMILLON BAKERY & CAFE","SEMILLON BAKERY & CAFE","2/13/18","Seating 13-50 - Risk Category II","1150 11th AVE","SEATTLE",98122,"(312) 593-4256",-122.3176716,47.61273753,"SEMILLON BAKERY & CAFE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0084159","DAVIXJTOL","",1
"1036","SHELL #423","SHELL #423","2/13/18","Seating 0-12 - Risk Category III","700 12TH AVE ","Seattle",98122,"(760) 607-4511",-122.3162583,47.60830298,"SHELL #423","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0020402","DAZQW0NVQ","",1
"1037","FRESH EVERY THYME","FRESH EVERY THYME @MELTING POT","2/13/18","Caterer - Risk Category III","1440 S Jackson ST E 304","SEATTLE",98144,"(206) 450-2221",-122.3124115,47.59943961,"FRESH EVERY THYME","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0085749","DAMLPEMDF","",NA
"1038","HUE KY MI GIA","HUE KY MI GIA","2/13/18","Seating 13-50 - Risk Category III","1207 S JACKSON ST B101","SEATTLE",98144,"(206) 723-4689",-122.3164425,47.59882228,"HUE KY MI GIA","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0029020","DAGS3WLY0","",3
"1039","SAIGON DELI","SAIGON DELI","2/13/18","Seating 0-12 - Risk Category III","1237 S JACKSON ST ","Seattle",98144,"(206) 322-3700",-122.3156009,47.59903705,"SAIGON DELI","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0070218","DAKOBQIPC","",2
"1040","SUBWAY","SUBWAY","2/14/18","Seating 0-12 - Risk Category III","2240 EASTLAKE AVE E","Seattle",98102,"(206) 325-5632",-122.3255314,47.6395995,"SUBWAY","Routine Inspection/Field Review",10,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0016972","DAXIQ03MU","IVBAZ5SBC",1
"1041","SUBWAY","SUBWAY","2/14/18","Seating 0-12 - Risk Category III","2240 EASTLAKE AVE E","Seattle",98102,"(206) 325-5632",-122.3255314,47.6395995,"SUBWAY","Routine Inspection/Field Review",10,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0016972","DAXIQ03MU","IVPYJQ14X",1
"1042","DUCHESS TAVERN, THE","DUCHESS TAVERN, THE","2/14/18","Seating 51-150 - Risk Category III","2827 NE 55TH ST ","Seattle",98105,"(206) 527-8606",-122.2960897,47.66840283,"DUCHESS TAVERN, THE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0011289","DAFU2E8PK","",1
"1043","ELEMENTAL PIZZA","ELEMENTAL PIZZA","2/14/18","Seating 51-150 - Risk Category III","2634 NE UNIVERSITY VILLAGE","Seattle",98105,"(206) 604-5846",-122.2974596,47.66355701,"ELEMENTAL PIZZA","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0050360","DAR93FB2B","",2
"1044","JUST BURGERS","E J BURGER","2/14/18","Seating 13-50 - Risk Category III","4510 UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 619-0648",-122.3128233,47.66162519,"JUST BURGERS","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0076764","DAL11NF5D","IVGC5J4VM",2
"1045","JUST BURGERS","E J BURGER","2/14/18","Seating 13-50 - Risk Category III","4510 UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 619-0648",-122.3128233,47.66162519,"JUST BURGERS","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0076764","DAL11NF5D","IVEDB9CRR",2
"1046","JUST BURGERS","E J BURGER","2/14/18","Seating 13-50 - Risk Category III","4510 UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 619-0648",-122.3128233,47.66162519,"JUST BURGERS","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","2500 - Toxic substances properly identified,...",10,"PR0076764","DAL11NF5D","IVX5EC0HR",2
"1047","QUEEN MARY","QUEEN MARY","2/14/18","Seating 13-50 - Risk Category III","2912 NE 55TH ST ","Seattle",98105,"(206) 527-2770",-122.2955814,47.66867414,"QUEEN MARY","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0020213","DASVIIXNK","",1
"1048","RAM RESTAURANT & BIG HORN BREWERY","RAM RESTAURANT & BIG HORN BREWERY","2/14/18","Seating > 250 - Risk Category III","2650 NE UNIVERSITY VILLAGE ST","Seattle",98105,"(253) 588-1788",-122.297881,47.664146,"RAM RESTAURANT & BIG HORN BREWERY","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0011165","DAWE0BTHG","",2
"1049","TERIYAKI FIRST","TERIYAKI FIRST","2/14/18","Seating 0-12 - Risk Category III","5201-B UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 778-5935",-122.3134754,47.6667328,"TERIYAKI FIRST","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"BLUE","4300 - Non-food contact surfaces maintained and clean",3,"PR0048931","DAY0FWGKA","IVXOV3BC0",2
"1050","TERIYAKI FIRST","TERIYAKI FIRST","2/14/18","Seating 0-12 - Risk Category III","5201-B UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 778-5935",-122.3134754,47.6667328,"TERIYAKI FIRST","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"BLUE","4800 - Physical facilities properly installed,...",2,"PR0048931","DAY0FWGKA","IVXIMD0CJ",2
"1051","TERIYAKI FIRST","TERIYAKI FIRST","2/14/18","Seating 0-12 - Risk Category III","5201-B UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 778-5935",-122.3134754,47.6667328,"TERIYAKI FIRST","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0048931","DAY0FWGKA","IVSBCFG3W",2
"1052","TERIYAKI FIRST","TERIYAKI FIRST","2/14/18","Seating 0-12 - Risk Category III","5201-B UNIVERSITY WAY NE ","SEATTLE",98105,"(206) 778-5935",-122.3134754,47.6667328,"TERIYAKI FIRST","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0048931","DAY0FWGKA","IVAVHIWDU",2
"1053","SAFEWAY STORE #1477","SAFEWAY #1477 (BAKERY)","2/14/18","Bakery-no seating - Risk Category II","1423 NW MARKET ST ","Seattle",98107,"(425) 259-3161",-122.374903,47.66825883,"SAFEWAY STORE #1477","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0055438","DAB0OS7AH","",NA
"1054","SAFEWAY STORE #1477","SAFEWAY #1477(GROCERY/PRODUCE)","2/14/18","Grocery Store-no seating - Risk Category I","1423 NW MARKET ST ","Seattle",98107,"(425) 259-3161",-122.374903,47.66825883,"SAFEWAY STORE #1477","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0055437","DAYGXQRWT","",NA
"1055","SAFEWAY STORE #1477","SAFEWAY #1477 (DELI-CHINA EXP)","2/14/18","Seating 0-12 - Risk Category III","1423 NW MARKET ST ","Seattle",98107,"(425) 259-3161",-122.374903,47.66825883,"SAFEWAY STORE #1477","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0055439","DAZ6E6LID","",2
"1056","SAFEWAY STORE #1477","SAFEWAY #1477 - MEAT/SEAFOOD","2/14/18","Meat/Sea Food - Risk Category III","1423 NW MARKET ST ","Seattle",98107,"(425) 259-3161",-122.374903,47.66825883,"SAFEWAY STORE #1477","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0055440","DADGTV6RF","",NA
"1057","SAFEWAY STORE #1477","SAFEWAY FUEL KIOSK","2/14/18","Grocery Store-no seating - Risk Category I","1423 NW MARKET ST ","Seattle",98107,"(425) 259-3161",-122.374903,47.66825883,"SAFEWAY STORE #1477","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0077003","DAWYVSCMK","",NA
"1058","SAFEWAY STORE #1477","SAFEWAY #1477 (STARBUCKS)","2/14/18","Seating 0-12 - Risk Category II","1423 NW MARKET ST ","Seattle",98107,"(425) 259-3161",-122.374903,47.66825883,"SAFEWAY STORE #1477","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0064376","DAGJJO0XL","",1
"1059","JACK'S BBQ","JACK'S BBQ","2/14/18","Seating 51-150 - Risk Category III","3924 AIRPORT WAY S ","SEATTLE",98108,"(206) 349-4554",-122.3223139,47.56825072,"JACK'S BBQ","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0002271","DAGXICKU5","IVOMKGBXP",1
"1060","VAMANOS","VAMANOS","2/14/18","Seating 0-12 - Risk Category III","3810 AIRPORT WAY S","SEATTLE",98108,"",-122.3222657,47.56953731,"VAMANOS","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0086475","DA0KJNCRC","",1
"1061","AGAVE COCINA & TEQUILAS","AGAVE COCINA & TEQUILAS","2/14/18","Seating 51-150 - Risk Category III","100 REPUBLICAN ST","SEATTLE",98109,"(425) 269-5144",-122.3551075,47.62343156,"AGAVE COCINA & TEQUILAS","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0083938","DAPEH7FGY","",1
"1062","BLUE WATER TACO GRILL","BLUE WATER TACO GRILL","2/14/18","Seating 0-12 - Risk Category III","305 HARRISON ST","SEATTLE",98109,"",-122.3494603,47.62170689,"BLUE WATER TACO GRILL","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0083999","DAVACXEEL","",1
"1063","MOD SUPERFAST PIZZA","MOD SUPERFAST PIZZA","2/14/18","Seating 13-50 - Risk Category III","305 HARRISON ST #221","SEATTLE",98109,"(206) 883-4510",-122.350867,47.621417,"MOD SUPERFAST PIZZA","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0082233","DACWEGRYK","",1
"1064","STARBUCKS COFFEE #3204","STARBUCKS COFFEE #3204","2/14/18","Seating 0-12 - Risk Category II","305 HARRISON ST ","Seattle",98109,"",-122.3514916,47.62385954,"STARBUCKS COFFEE #3204","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0044831","DAXFTO4FA","",1
"1065","EL SOMBRERO FAMILY MEXICAN","EL SOMBRERO FAMILY MEXICAN","2/14/18","Seating 13-50 - Risk Category III","4868 RAINIER AVE S ","Seattle",98118,"(206) 725-7822",-122.2849031,47.55807631,"EL SOMBRERO FAMILY MEXICAN","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0014718","DARKUDTOD","",2
"1066","GERALDINE'S COUNTER","GERALDINE'S COUNTER","2/14/18","Seating 51-150 - Risk Category III","4870 RAINIER AVE S ","SEATTLE",98118,"(206) 551-3271",-122.2848554,47.55806347,"GERALDINE'S COUNTER","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0071326","DAYYDPPCO","",1
"1067","LA TERANGA, LLC","LA TERANGA, LLC","2/14/18","Seating 0-12 - Risk Category III","4903 RAINIER AVE S ","Seattle",98118,"",-122.2851897,47.55768988,"LA TERANGA, LLC","Routine Inspection/Field Review",0,"Complete",FALSE,"","",0,"PR0002377","DAIEZ9Q0B","",1
"1068","LOTTIE'S LOUNGE","LOTTIE'S LOUNGE","2/14/18","Seating 13-50 - Risk Category III","4900 RAINIER AVE S ","Seattle",98118,"",-122.2847054,47.55770865,"LOTTIE'S LOUNGE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0052125","DAGG6FWVW","",1
"1069","ROOKIES SPORTS BAR & GRILL","ROOKIES SPORTS BAR & GRILL","2/14/18","Seating 51-150 - Risk Category III","3820 S FERDINAND ST ","SEATTLE",98118,"(206) 550-8126",-122.2841174,47.55800075,"ROOKIES SPORTS BAR & GRILL","Consultation/Education - Field",0,"Satisfactory",FALSE,"","",0,"PR0072225","DA0JWLLOU","",2
"1070","KEN'S QA","KEN'S QA -  GROCERY","2/14/18","Grocery Store-no seating - Risk Category II","2400 6TH AVE W ","Seattle",98119,"(206) 282-1100",-122.3645884,47.6398566,"KEN'S QA","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0003079","DAMWT9V0P","",NA
"1071","KEN'S QA","KEN'S QA - MEAT SHOP","2/14/18","Meat/Sea Food - Risk Category III","2400 6TH AVE W ","Seattle",98119,"(206) 282-1100",-122.3645884,47.6398566,"KEN'S QA","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0007638","DA6F2SC1R","",NA
"1072","KEN'S QA","KEN'S QA - DELI","2/14/18","Seating 0-12 - Risk Category III","2400 6TH AVE W ","Seattle",98119,"(206) 282-1100",-122.3645884,47.6398566,"KEN'S QA","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0004152","DAK40AZGF","",2
"1073","KFC #628","KFC #628","2/14/18","Seating 13-50 - Risk Category III","210 W MERCER ST ","SEATTLE",98119,"(425) 778-9119",-122.3600292,47.62503157,"KFC #628","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0003085","DA1KXUWWI","",1
"1074","VICTROLA COFFEE ROASTERS","VICTROLA COFFEE ROASTERS","2/14/18","Seating 13-50 - Risk Category II","310 E PIKE ST ","SEATTLE",98122,"(206) 325-6520",-122.3274298,47.61424472,"VICTROLA COFFEE ROASTERS","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0076488","DAQLWXTQP","",1
"1075","A PLUS KITCHEN INC","A PLUS KITCHEN INC","2/15/18","Seating 13-50 - Risk Category III","419 6TH AVE S ","SEATTLE",98104,"(206) 859-1874",-122.3265256,47.59854226,"A PLUS KITCHEN INC","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0077592","DAYYWKW1C","",2
"1076","BOILING POINT RESTAURANT INC","BOILING POINT RESTAURANT INC- SEATTLE","2/15/18","Seating 51-150 - Risk Category III","610 5TH AVE S #1","SEATTLE",98104,"(626) 551-5181",-122.3274574,47.59683886,"BOILING POINT RESTAURANT INC","Routine Inspection/Field Review",3,"Satisfactory",FALSE,"BLUE","3700 - In-use utensils properly stored",3,"PR0083388","DAIDAFP3I","IVVDNESLK",1
"1077","FIESTA FIESTA","FIESTA FIESTA","2/15/18","Seating 0-12 - Risk Category III","701 5TH AVE ","Seattle",98104,"(206) 763-6161",-122.3306146,47.60452694,"FIESTA FIESTA","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0018720","DAJSRWEDH","IVPTBRGZK",1
"1078","RAY'S GOURMET DELI","RAYS GOURMET DELI","2/15/18","Seating 0-12 - Risk Category III","701 5TH AVE 102","SEATTLE",98104,"(206) 386-5995",-122.330068,47.6043478,"RAY'S GOURMET DELI","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0031677","DAEANR3QM","",1
"1079","SPECIALTY'S CAFE & BAKERY #113","SPECIALTY'S CAFE & BAKERY #113","2/15/18","Seating 0-12 - Risk Category III","701 5TH AVE 101","SEATTLE",98104,"(415) 678-2600",-122.3306146,47.60452694,"SPECIALTY'S CAFE & BAKERY #113","Routine Inspection/Field Review",7,"Satisfactory",FALSE,"BLUE","4800 - Physical facilities properly installed,...",2,"PR0072033","DALCAHNXM","IV665AA1P",1
"1080","SPECIALTY'S CAFE & BAKERY #113","SPECIALTY'S CAFE & BAKERY #113","2/15/18","Seating 0-12 - Risk Category III","701 5TH AVE 101","SEATTLE",98104,"(415) 678-2600",-122.3306146,47.60452694,"SPECIALTY'S CAFE & BAKERY #113","Routine Inspection/Field Review",7,"Satisfactory",FALSE,"BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0072033","DALCAHNXM","IVWAS2T7E",1
"1081","BARTELL DRUGS #31","BARTELL DRUGS #31","2/15/18","Grocery Store-no seating - Risk Category I","2700 NE UNIVERSITY VILLAGE ST ","SEATTLE",98105,"",-122.2974596,47.66355701,"BARTELL DRUGS #31","Routine Inspection/Field Review",2,"Satisfactory",FALSE,"BLUE","5000 - Posting of permit; mobile establishment name...",2,"PR0069350","DAFA6WE1U","IVT3TVTIF",NA
"1082","JUICE PRESS","JUICE PRESS","2/15/18","Seating 13-50 - Risk Category III","2620 NE UNIVERSITY VILLAGE ST","SEATTLE",98105,"(212) 784-2034",-122.2992005,47.66386823,"JUICE PRESS","Routine Inspection/Field Review",10,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0082645","DAP5BNGU3","IVXKQ8REB",1
"1083","BAUHAUS BALLARD","BAUHAUS BALLARD","2/15/18","Seating 51-150 - Risk Category II","2001 NW MARKET ST","SEATTLE",98107,"(206) 300-3003",-122.382429,47.668393,"BAUHAUS BALLARD","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0083520","DAT4PE28T","IVWX2FXDU",2
"1084","BAUHAUS BALLARD","BAUHAUS BALLARD","2/15/18","Seating 51-150 - Risk Category II","2001 NW MARKET ST","SEATTLE",98107,"(206) 300-3003",-122.382429,47.668393,"BAUHAUS BALLARD","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"RED","1900 - No room temperature storage; proper use of time...",25,"PR0083520","DAT4PE28T","IVU0NN6JU",2
"1085","BIG CHICKIE","BIG CHICKIE","2/15/18","Seating 13-50 - Risk Category III","5520 RAINIER AVE S","SEATTLE",98118,"(206) 227-1356",-122.2777471,47.55225206,"BIG CHICKIE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0084238","DAEIIT2L6","",1
"1086","KAFFE COFFEE & WINE BAR","KAFFE COFFEE & WINE BAR","2/15/18","Seating 13-50 - Risk Category III","8136 RAINIER AVE S","SEATTLE",98118,"(206) 418-6995",-122.2697375,47.52993601,"KAFFE COFFEE & WINE BAR","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0081666","DATHKGWKE","",1
"1087","WALAALAHA MINI MARKET","WALAALAHA MINI MARKET","2/15/18","Seating 0-12 - Risk Category III","8318 RAINIER AVE S","SEATTLE",98118,"(206) 420-4096",-122.2697748,47.52897378,"WALAALAHA MINI MARKET","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0081037","DA5JD7U8P","",2
"1088","GLO'S","GLO'S","2/16/18","Seating 13-50 - Risk Category III","1621 E OLIVE WAY ","Seattle",98102,"(206) 324-2577",-122.3245362,47.61929098,"GLO'S","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0003361","DAUP9VGGL","IVV6ZDHXL",2
